Trace
Swept SA
A.02.06,N9010A
80031800,-44.2053488111435
80032400,-44.7783880436713
80033000,-44.8390766896911
80033600,-45.2636671981704
80034200,-46.0490622803744
80034800,-46.7076729899292
80035400,-46.1293626715813
80036000,-46.6741636603465
80036600,-47.8527545566936
80037200,-48.1865715154182
80037800,-48.5368521798474
80038400,-49.2823695800389
80039000,-49.0113641518142
80039600,-49.3879213304042
80040200,-50.5977407249435
80040800,-50.2273344058382
80041400,-51.1694956012322
80042000,-51.7894647076166
80042600,-52.7202060436907
80043200,-52.0362054620326
80043800,-53.3932153526934
80044400,-53.6985301985041
80045000,-54.9259425494095
80045600,-54.9160359319389
80046200,-54.9332832921168
80046800,-56.3119302622143
80047400,-55.88987906249
80048000,-56.9767811860062
80048600,-56.7846534528108
80049200,-56.6519860465659
80049800,-56.7655866533538
80050400,-56.5781266459698
80051000,-56.552915180407
80051600,-56.6680615941335
80052200,-56.453480276018
80052800,-55.1527306994446
80053400,-56.2235643892099
80054000,-55.0548585009599
80054600,-54.6209202629805
80055200,-54.6920023738482
80055800,-54.8180218800262
80056400,-53.862136515611
80057000,-53.7439306236485
80057600,-53.5861628067594
80058200,-52.909836098091
80058800,-53.505814691628
80059400,-52.8136619494066
80060000,-52.9889271191037
80060600,-52.9747599017556
80061200,-53.4543819436701
80061800,-51.9498855322307
80062400,-52.4233649952588
80063000,-52.7196686335789
80063600,-52.4137305453383
80064200,-52.5082948877432
80064800,-52.1054501848655
80065400,-52.2956056599483
80066000,-52.2083692981219
80066600,-51.7919225825272
80067200,-51.6231097322
80067800,-51.5767968488061
80068400,-52.1899863710452
80069000,-52.1717094228713
80069600,-52.2454551991803
80070200,-52.2429665613064
80070800,-52.425637249914
80071400,-51.6009100506639
80072000,-51.8149729152086
80072600,-52.2390208304915
80073200,-52.3350154507125
80073800,-52.4414991093828
80074400,-53.4861705258419
80075000,-52.4308747749544
80075600,-53.0870237154726
80076200,-53.1616935651823
80076800,-52.883022353712
80077400,-53.589601502846
80078000,-52.9359991812765
80078600,-53.7150790633916
80079200,-53.956185163837
80079800,-54.3307120372782
80080400,-54.8251417444729
80081000,-54.894559374588
80081600,-54.354967966519
80082200,-54.9002017419799
80082800,-56.2490017019148
80083400,-56.003841514148
80084000,-55.6017739878651
80084600,-57.2499322701245
80085200,-56.4973196078894
80085800,-57.5409617290908
80086400,-58.0470985785145
80087000,-58.2937723394993
80087600,-58.0462330201817
80088200,-59.0740141949159
80088800,-59.5641093046404
80089400,-59.7906899286962
80090000,-60.467996840958
80090600,-61.1163003065914
80091200,-61.0797182236484
80091800,-61.7971485670049
80092400,-62.6282362528836
80093000,-62.3146547791476
80093600,-63.1452883487574
80094200,-63.4135988884138
80094800,-63.5944930882752
80095400,-64.1733550500063
80096000,-63.3873348223488
80096600,-63.0687984198768
80097200,-62.805699480941
80097800,-62.6623345105779
80098400,-62.7271768217929
80099000,-62.9080582006082
80099600,-62.8796398723094
80100200,-61.90429275986
80100800,-61.8164765070109
80101400,-61.3945551401078
80102000,-60.3221482629287
80102600,-61.4056351885587
80103200,-60.3479038128566
80103800,-59.8216130593403
80104400,-59.3996078128013
80105000,-59.389519530112
80105600,-58.8503119716602
80106200,-58.7714611740428
80106800,-58.2499872794369
80107400,-58.0377852937845
80108000,-57.953239006903
80108600,-57.8395370246735
80109200,-57.8733873318342
80109800,-57.6733302142263
80110400,-57.2632180228697
80111000,-58.1614195962371
80111600,-57.1978004411656
80112200,-57.6078578116404
80112800,-57.4848790661882
80113400,-57.1852954124105
80114000,-56.8127429950374
80114600,-56.8296459053549
80115200,-56.6982904093029
80115800,-57.1086830400565
80116400,-56.566572712125
80117000,-56.5059699440376
80117600,-56.8224110542284
80118200,-57.0774018464314
80118800,-56.7384021462886
80119400,-56.8038763635482
80120000,-56.9186319893267
80120600,-57.0431903182838
80121200,-56.710116071917
80121800,-57.5144783711299
80122400,-57.7453100237685
80123000,-57.1001461669078
80123600,-58.0226942533214
80124200,-57.8802994052895
80124800,-58.1048315760877
80125400,-57.9172428335545
80126000,-57.9613411395577
80126600,-58.4607328228384
80127200,-58.016767288775
80127800,-59.3494488153674
80128400,-58.9532482253877
80129000,-59.4341200901725
80129600,-59.1462194829823
80130200,-59.7612545842283
80130800,-60.2085488673734
80131400,-60.1061621053788
80132000,-60.9755511737282
80132600,-61.7283781394119
80133200,-61.0849154750889
80133800,-62.7018146190228
80134400,-61.7719432584476
80135000,-62.6079608644416
80135600,-62.8375545066085
80136200,-64.219568999094
80136800,-64.0536605357333
80137400,-65.1036442007585
80138000,-64.7546844419803
80138600,-65.2147575055477
80139200,-65.8371322778197
80139800,-66.0928649215403
80140400,-66.8979932811651
80141000,-65.547185298296
80141600,-67.3172546673938
80142200,-67.3154733959842
80142800,-68.09017271779
80143400,-67.7670017763993
80144000,-67.1832151841685
80144600,-67.5628676187686
80145200,-67.1907264726321
80145800,-66.8489190430456
80146400,-66.0727826383925
80147000,-66.2464656651298
80147600,-65.7678728829453
80148200,-65.7837916748575
80148800,-64.6065844130639
